student_key,programme_id,gender,international_flag,study_level,length_of_stay_months,age_band
STU-00512,P01,Female,0,Undergraduate,19,18-20
STU-00513,P04,Male,1,Undergraduate,11,21-24
STU-00514,P04,Female,0,Postgraduate,9,18-20
STU-00515,P05,Male,1,Undergraduate,24,18-20
STU-00516,P01,Female,0,Undergraduate,46,18-20
STU-00517,P04,Male,0,Undergraduate,20,18-20
STU-00518,P06,Female,0,Undergraduate,3,21-24
STU-00519,P05,Female,0,Undergraduate,20,21-24
STU-00520,P04,Male,0,Undergraduate,26,21-24
STU-00521,P03,Prefer not to say,0,Postgraduate,22,18-20
STU-00522,P03,Female,1,Postgraduate,47,21-24
STU-00523,P03,Male,1,Undergraduate,41,21-24
STU-00524,P03,Male,0,Undergraduate,27,25-34
STU-00525,P05,Female,0,Undergraduate,31,18-20
STU-00526,P02,Male,0,Undergraduate,35,18-20
STU-00527,P06,Male,1,Undergraduate,13,21-24
STU-00528,P05,Male,0,Undergraduate,10,18-20
STU-00529,P03,Female,0,Undergraduate,5,21-24
STU-00530,P02,Male,0,Postgraduate,42,18-20
STU-00531,P06,Male,1,Undergraduate,23,18-20
STU-00532,P01,Prefer not to say,0,Undergraduate,25,25-34
STU-00533,P02,Female,0,Undergraduate,32,21-24
STU-00534,P02,Male,0,Undergraduate,27,21-24
STU-00535,P03,Male,0,Undergraduate,6,18-20
STU-00536,P02,Prefer not to say,0,Undergraduate,42,21-24
STU-00537,P06,Male,0,Undergraduate,9,25-34
STU-00538,P01,Male,0,Undergraduate,44,25-34
STU-00539,P01,Female,1,Undergraduate,37,21-24
STU-00540,P01,Prefer not to say,1,Postgraduate,20,35+
STU-00541,P02,Female,0,Undergraduate,36,21-24
STU-00542,P04,Prefer not to say,1,Undergraduate,42,21-24
STU-00543,P06,Female,0,Undergraduate,10,25-34
STU-00544,P04,Female,0,Postgraduate,3,18-20
STU-00545,P05,Non-binary,1,Undergraduate,42,21-24
STU-00546,P03,Male,0,Postgraduate,27,25-34
STU-00547,P04,Female,1,Postgraduate,13,35+
STU-00548,P01,Male,0,Undergraduate,34,21-24
STU-00549,P02,Male,1,Undergraduate,11,18-20
STU-00550,P02,Prefer not to say,0,Undergraduate,26,18-20
STU-00551,P03,Non-binary,0,Undergraduate,18,25-34
STU-00552,P02,Non-binary,0,Undergraduate,22,21-24
STU-00553,P06,Male,0,Undergraduate,6,18-20
STU-00554,P01,Female,0,Undergraduate,22,21-24
STU-00555,P01,Male,0,Undergraduate,47,18-20
STU-00556,P02,Male,0,Undergraduate,44,18-20
STU-00557,P03,Female,0,Postgraduate,32,18-20
STU-00558,P01,Female,0,Undergraduate,46,21-24
STU-00559,P01,Male,1,Undergraduate,14,21-24
STU-00560,P01,Female,0,Postgraduate,25,21-24
STU-00561,P02,Male,0,Undergraduate,40,21-24
STU-00562,P06,Female,1,Undergraduate,13,21-24
STU-00563,P03,Female,1,Undergraduate,48,18-20
STU-00564,P02,Male,1,Undergraduate,21,18-20
STU-00565,P06,Female,0,Undergraduate,30,21-24
STU-00566,P04,Male,0,Undergraduate,4,18-20
STU-00567,P06,Female,1,Postgraduate,35,21-24
STU-00568,P06,Female,0,Undergraduate,39,25-34
STU-00569,P03,Male,0,Postgraduate,41,18-20
STU-00570,P06,Female,0,Postgraduate,44,18-20
STU-00571,P06,Female,0,Undergraduate,23,25-34
STU-00572,P04,Female,0,Undergraduate,23,25-34
STU-00573,P03,Female,1,Undergraduate,19,21-24
STU-00574,P04,Male,0,Postgraduate,7,18-20
STU-00575,P04,Male,1,Undergraduate,38,18-20
STU-00576,P05,Female,0,Undergraduate,7,18-20
STU-00577,P02,Male,0,Postgraduate,14,21-24
STU-00578,P04,Male,1,Undergraduate,46,21-24
STU-00579,P04,Male,1,Undergraduate,10,25-34
STU-00580,P06,Female,0,Undergraduate,35,21-24
STU-00581,P01,Female,1,Undergraduate,15,25-34
STU-00582,P01,Female,0,Undergraduate,32,18-20
STU-00583,P05,Female,1,Undergraduate,11,25-34
STU-00584,P01,Female,0,Undergraduate,38,21-24
STU-00585,P02,Female,0,Undergraduate,20,21-24
STU-00586,P01,Female,1,Undergraduate,31,35+
STU-00587,P03,Female,0,Postgraduate,41,21-24
STU-00588,P03,Female,1,Undergraduate,27,18-20
STU-00589,P06,Female,0,Postgraduate,45,18-20
STU-00590,P01,Male,0,Undergraduate,41,21-24
STU-00591,P03,Female,1,Undergraduate,37,18-20
STU-00592,P03,Female,0,Undergraduate,14,18-20
STU-00593,P02,Female,1,Undergraduate,6,21-24
STU-00594,P06,Female,0,Postgraduate,45,21-24
STU-00595,P04,Male,0,Undergraduate,17,21-24
STU-00596,P03,Male,0,Undergraduate,36,35+
STU-00597,P04,Female,1,Undergraduate,4,25-34
STU-00598,P05,Female,1,Undergraduate,27,21-24
STU-00599,P01,Female,1,Undergraduate,9,21-24
STU-00600,P04,Female,1,Undergraduate,19,21-24
STU-00601,P02,Male,0,Undergraduate,24,18-20
STU-00602,P04,Male,1,Postgraduate,14,25-34
STU-00603,P02,Male,0,Undergraduate,46,25-34
STU-00604,P03,Female,0,Undergraduate,4,25-34
STU-00605,P01,Male,0,Undergraduate,11,21-24
STU-00606,P03,Female,1,Undergraduate,25,18-20
STU-00607,P02,Male,1,Postgraduate,22,25-34
STU-00608,P02,Female,0,Postgraduate,47,25-34
STU-00609,P04,Male,0,Undergraduate,45,18-20
STU-00610,P04,Female,0,Undergraduate,36,25-34
STU-00611,P03,Female,0,Undergraduate,9,25-34
STU-00612,P01,Male,0,Undergraduate,44,18-20
STU-00613,P04,Female,1,Postgraduate,37,18-20
STU-00614,P03,Male,0,Postgraduate,45,18-20
STU-00615,P02,Male,0,Postgraduate,45,21-24
STU-00616,P02,Male,0,Postgraduate,32,21-24
STU-00617,P05,Male,0,Undergraduate,32,35+
STU-00618,P06,Female,0,Undergraduate,29,21-24
STU-00619,P06,Female,0,Postgraduate,4,21-24
STU-00620,P01,Female,0,Undergraduate,41,25-34
STU-00621,P05,Female,0,Undergraduate,11,21-24
STU-00622,P02,Male,0,Postgraduate,2,21-24
STU-00623,P03,Male,0,Undergraduate,30,25-34
STU-00624,P04,Male,0,Undergraduate,4,18-20
STU-00625,P05,Male,1,Undergraduate,22,18-20
STU-00626,P04,Female,0,Postgraduate,9,35+
STU-00627,P05,Female,0,Undergraduate,19,18-20
STU-00628,P05,Female,0,Undergraduate,4,21-24
STU-00629,P06,Male,0,Undergraduate,47,18-20
STU-00630,P03,Male,0,Postgraduate,19,21-24
STU-00631,P04,Female,0,Postgraduate,8,35+
STU-00632,P01,Female,0,Postgraduate,40,25-34
STU-00633,P01,Female,1,Undergraduate,7,25-34
STU-00634,P04,Female,1,Undergraduate,21,21-24
STU-00635,P03,Non-binary,0,Undergraduate,41,35+
STU-00636,P01,Prefer not to say,0,Undergraduate,48,21-24
STU-00637,P03,Male,1,Undergraduate,41,21-24
STU-00638,P04,Female,0,Undergraduate,1,21-24
STU-00639,P06,Prefer not to say,0,Postgraduate,18,21-24
STU-00640,P06,Male,0,Undergraduate,46,18-20
STU-00641,P03,Female,0,Undergraduate,6,35+
STU-00642,P06,Male,0,Undergraduate,21,25-34
STU-00643,P04,Female,0,Undergraduate,19,25-34
STU-00644,P06,Female,1,Undergraduate,26,21-24
STU-00645,P04,Male,1,Undergraduate,48,18-20
STU-00646,P04,Female,0,Postgraduate,19,21-24
STU-00647,P04,Male,0,Undergraduate,23,25-34
STU-00648,P01,Male,0,Undergraduate,14,18-20
STU-00649,P05,Female,0,Undergraduate,20,25-34
STU-00650,P03,Female,0,Postgraduate,1,21-24
STU-00651,P02,Male,0,Postgraduate,17,18-20
STU-00652,P04,Male,1,Undergraduate,18,25-34
STU-00653,P03,Male,0,Postgraduate,24,21-24
STU-00654,P05,Female,0,Undergraduate,40,21-24
STU-00655,P03,Female,0,Postgraduate,23,25-34
STU-00656,P02,Female,0,Undergraduate,33,18-20
STU-00657,P03,Male,0,Postgraduate,3,18-20
STU-00658,P02,Prefer not to say,1,Undergraduate,6,25-34
STU-00659,P03,Male,0,Undergraduate,45,18-20
STU-00660,P05,Female,0,Undergraduate,18,21-24
STU-00661,P02,Male,0,Undergraduate,19,25-34
STU-00662,P05,Female,1,Postgraduate,28,18-20
STU-00663,P02,Female,0,Undergraduate,19,25-34
STU-00664,P05,Prefer not to say,0,Undergraduate,11,25-34
STU-00665,P06,Female,0,Undergraduate,34,21-24
STU-00666,P02,Prefer not to say,0,Undergraduate,1,25-34
STU-00667,P02,Female,0,Undergraduate,44,25-34
STU-00668,P04,Male,1,Postgraduate,25,18-20
STU-00669,P03,Female,0,Undergraduate,28,21-24
STU-00670,P01,Female,0,Undergraduate,31,21-24
STU-00671,P04,Female,1,Undergraduate,35,25-34
STU-00672,P06,Female,0,Undergraduate,32,25-34
STU-00673,P01,Male,0,Postgraduate,15,21-24
STU-00674,P05,Male,1,Undergraduate,34,21-24
STU-00675,P02,Male,1,Postgraduate,47,18-20
STU-00676,P01,Male,0,Undergraduate,6,21-24
STU-00677,P06,Female,1,Undergraduate,18,25-34
STU-00678,P01,Female,0,Undergraduate,33,21-24
STU-00679,P05,Male,0,Undergraduate,32,18-20
STU-00680,P04,Female,0,Postgraduate,19,18-20
STU-00681,P03,Male,0,Postgraduate,9,18-20
STU-00682,P03,Male,0,Undergraduate,11,21-24
STU-00683,P01,Female,0,Undergraduate,34,18-20
STU-00684,P01,Male,1,Undergraduate,45,18-20
STU-00685,P05,Male,0,Undergraduate,23,18-20
STU-00686,P06,Female,0,Undergraduate,3,18-20
STU-00687,P01,Male,1,Undergraduate,44,25-34
STU-00688,P02,Female,0,Undergraduate,18,18-20
STU-00689,P05,Female,0,Undergraduate,21,18-20
STU-00690,P04,Male,0,Undergraduate,19,18-20
STU-00691,P06,Female,1,Undergraduate,10,18-20
STU-00692,P01,Male,0,Postgraduate,6,21-24
STU-00693,P05,Female,0,Undergraduate,28,18-20
STU-00694,P01,Male,0,Undergraduate,44,18-20
STU-00695,P04,Prefer not to say,0,Postgraduate,46,18-20
STU-00696,P06,Female,1,Postgraduate,15,25-34
STU-00697,P05,Female,1,Undergraduate,15,25-34
STU-00698,P01,Male,1,Undergraduate,47,21-24
STU-00699,P01,Male,0,Postgraduate,36,35+
STU-00700,P06,Male,1,Undergraduate,15,25-34
STU-00701,P05,Female,1,Undergraduate,1,21-24
STU-00702,P03,Male,1,Undergraduate,16,18-20
STU-00703,P06,Female,0,Undergraduate,33,18-20
STU-00704,P03,Female,1,Postgraduate,14,21-24
STU-00705,P04,Male,0,Postgraduate,17,21-24
STU-00706,P04,Male,0,Postgraduate,11,21-24
STU-00707,P03,Female,0,Undergraduate,15,18-20
STU-00708,P02,Prefer not to say,1,Postgraduate,8,25-34
STU-00709,P04,Male,1,Undergraduate,48,25-34
STU-00710,P05,Prefer not to say,0,Undergraduate,7,18-20
STU-00711,P03,Male,0,Postgraduate,21,25-34
STU-00712,P03,Female,0,Postgraduate,45,21-24
STU-00713,P04,Non-binary,0,Postgraduate,34,21-24
STU-00714,P02,Female,0,Undergraduate,20,18-20
STU-00715,P04,Female,0,Undergraduate,14,25-34
STU-00716,P06,Female,0,Undergraduate,41,35+
STU-00717,P04,Non-binary,0,Undergraduate,11,25-34
STU-00718,P03,Female,1,Postgraduate,14,21-24
STU-00719,P06,Male,1,Undergraduate,26,25-34
STU-00720,P03,Prefer not to say,1,Undergraduate,38,18-20
STU-00721,P04,Male,1,Undergraduate,28,21-24
STU-00722,P01,Male,0,Undergraduate,36,21-24
STU-00723,P01,Female,0,Undergraduate,13,21-24
STU-00724,P06,Female,0,Undergraduate,35,18-20
STU-00725,P01,Male,0,Undergraduate,6,21-24
STU-00726,P02,Male,0,Undergraduate,29,18-20
STU-00727,P04,Male,0,Undergraduate,12,18-20
STU-00728,P02,Female,0,Undergraduate,21,18-20
STU-00729,P01,Female,1,Undergraduate,8,35+
STU-00730,P01,Female,1,Undergraduate,8,21-24
STU-00731,P05,Female,0,Postgraduate,40,25-34
STU-00732,P02,Prefer not to say,0,Postgraduate,27,21-24
STU-00733,P06,Male,0,Postgraduate,24,21-24
STU-00734,P05,Female,0,Undergraduate,24,21-24
STU-00735,P01,Female,1,Postgraduate,18,21-24
STU-00736,P02,Non-binary,1,Postgraduate,22,21-24
STU-00737,P06,Male,0,Postgraduate,20,21-24
STU-00738,P04,Male,1,Undergraduate,19,18-20
STU-00739,P01,Female,0,Undergraduate,43,21-24
STU-00740,P05,Male,1,Undergraduate,25,18-20
STU-00741,P02,Male,0,Undergraduate,28,18-20
STU-00742,P01,Male,0,Undergraduate,25,18-20
STU-00743,P02,Male,0,Undergraduate,27,21-24
STU-00744,P04,Female,1,Undergraduate,19,21-24
STU-00745,P05,Female,1,Undergraduate,8,35+
STU-00746,P01,Male,0,Undergraduate,45,18-20
STU-00747,P05,Male,0,Undergraduate,34,25-34
STU-00748,P05,Male,0,Undergraduate,17,18-20
STU-00749,P05,Female,1,Undergraduate,43,21-24
STU-00750,P05,Female,0,Undergraduate,46,21-24
STU-00751,P03,Male,0,Postgraduate,15,18-20
STU-00752,P04,Female,0,Undergraduate,17,21-24
STU-00753,P02,Female,0,Undergraduate,44,21-24
STU-00754,P05,Male,0,Undergraduate,21,25-34
STU-00755,P01,Male,0,Undergraduate,5,18-20
STU-00756,P04,Female,0,Undergraduate,42,25-34
STU-00757,P05,Female,0,Undergraduate,35,18-20
STU-00758,P03,Male,0,Undergraduate,26,18-20
STU-00759,P02,Male,0,Undergraduate,25,21-24
STU-00760,P02,Female,0,Postgraduate,4,18-20
STU-00761,P06,Male,0,Undergraduate,46,35+
STU-00762,P03,Male,0,Undergraduate,22,18-20
STU-00763,P05,Female,1,Undergraduate,20,21-24
STU-00764,P06,Female,1,Undergraduate,19,21-24
STU-00765,P03,Female,1,Undergraduate,34,25-34
STU-00766,P05,Female,0,Undergraduate,6,18-20
STU-00767,P02,Male,0,Undergraduate,45,21-24
STU-00768,P01,Female,0,Undergraduate,21,35+
STU-00769,P02,Female,0,Undergraduate,3,25-34
STU-00770,P03,Male,0,Undergraduate,8,21-24
STU-00771,P06,Male,1,Undergraduate,38,18-20
STU-00772,P05,Female,1,Undergraduate,6,25-34
STU-00773,P02,Male,0,Postgraduate,4,25-34
STU-00774,P06,Male,0,Postgraduate,41,21-24
STU-00775,P02,Female,0,Undergraduate,1,25-34
STU-00776,P05,Non-binary,0,Undergraduate,21,18-20
STU-00777,P06,Female,0,Postgraduate,35,25-34
STU-00778,P04,Female,1,Postgraduate,17,18-20
STU-00779,P05,Female,0,Undergraduate,3,21-24
STU-00780,P02,Male,1,Undergraduate,22,18-20
STU-00781,P01,Male,0,Undergraduate,40,25-34
STU-00782,P02,Male,0,Postgraduate,21,21-24
STU-00783,P03,Female,0,Undergraduate,23,18-20
STU-00784,P06,Female,1,Undergraduate,8,21-24
STU-00785,P02,Female,0,Undergraduate,17,18-20
STU-00786,P01,Male,1,Postgraduate,41,21-24
STU-00787,P02,Non-binary,1,Undergraduate,22,21-24
STU-00788,P05,Female,0,Undergraduate,7,18-20
STU-00789,P04,Male,1,Undergraduate,36,18-20
STU-00790,P01,Female,0,Postgraduate,39,25-34
STU-00791,P02,Male,1,Undergraduate,32,21-24
STU-00792,P06,Female,0,Undergraduate,3,21-24
STU-00793,P05,Male,1,Postgraduate,46,18-20
STU-00794,P04,Male,1,Undergraduate,12,21-24
STU-00795,P04,Male,0,Postgraduate,17,25-34
STU-00796,P02,Male,0,Postgraduate,15,18-20
STU-00797,P05,Female,0,Undergraduate,12,21-24
STU-00798,P03,Male,0,Undergraduate,15,21-24
STU-00799,P01,Female,0,Undergraduate,29,25-34
STU-00800,P04,Female,0,Postgraduate,48,18-20
STU-00801,P04,Male,0,Postgraduate,8,21-24
STU-00802,P01,Female,1,Undergraduate,6,21-24
STU-00803,P03,Male,0,Undergraduate,10,25-34
STU-00804,P01,Male,0,Undergraduate,48,25-34
STU-00805,P04,Female,0,Postgraduate,45,18-20
STU-00806,P04,Female,0,Undergraduate,30,18-20
STU-00807,P05,Male,0,Undergraduate,9,18-20
STU-00808,P02,Non-binary,1,Undergraduate,23,18-20
STU-00809,P03,Female,0,Postgraduate,42,21-24
STU-00810,P04,Female,1,Postgraduate,41,21-24
STU-00811,P01,Male,1,Undergraduate,16,21-24
STU-00812,P04,Male,1,Undergraduate,17,25-34
STU-00813,P06,Male,1,Undergraduate,9,18-20
STU-00814,P01,Female,1,Undergraduate,48,35+
STU-00815,P02,Non-binary,0,Undergraduate,27,25-34
STU-00816,P02,Female,0,Undergraduate,36,21-24
STU-00817,P02,Male,0,Undergraduate,41,21-24
STU-00818,P03,Female,0,Undergraduate,10,21-24
STU-00819,P02,Male,0,Undergraduate,42,25-34
STU-00820,P02,Male,0,Undergraduate,47,18-20
STU-00821,P04,Male,1,Undergraduate,16,25-34
STU-00822,P03,Female,0,Undergraduate,45,21-24
STU-00823,P05,Non-binary,0,Undergraduate,6,21-24
STU-00824,P06,Male,0,Postgraduate,37,21-24
STU-00825,P05,Female,1,Undergraduate,6,18-20
STU-00826,P05,Male,0,Undergraduate,11,25-34
STU-00827,P05,Female,0,Undergraduate,7,21-24
STU-00828,P06,Non-binary,0,Postgraduate,46,18-20
STU-00829,P02,Male,0,Undergraduate,44,21-24
STU-00830,P03,Prefer not to say,0,Undergraduate,30,18-20
STU-00831,P06,Female,1,Undergraduate,27,18-20
STU-00832,P04,Female,0,Undergraduate,43,18-20
STU-00833,P04,Male,0,Undergraduate,9,18-20
STU-00834,P05,Male,1,Undergraduate,39,18-20
STU-00835,P05,Female,0,Undergraduate,4,35+
STU-00836,P01,Non-binary,0,Undergraduate,35,25-34
STU-00837,P02,Female,0,Undergraduate,27,21-24
STU-00838,P04,Female,1,Undergraduate,13,21-24
STU-00839,P05,Male,0,Undergraduate,41,25-34
STU-00840,P05,Male,0,Undergraduate,42,18-20
STU-00841,P04,Non-binary,1,Postgraduate,19,25-34
STU-00842,P02,Female,0,Undergraduate,40,21-24
STU-00843,P04,Female,1,Undergraduate,2,18-20
STU-00844,P01,Female,0,Undergraduate,10,21-24
STU-00845,P04,Female,1,Undergraduate,32,18-20
STU-00846,P04,Female,0,Undergraduate,21,21-24
STU-00847,P03,Female,0,Postgraduate,14,18-20
STU-00848,P03,Female,0,Undergraduate,20,21-24
STU-00849,P03,Female,0,Undergraduate,4,18-20
STU-00850,P04,Prefer not to say,1,Postgraduate,38,21-24
STU-00851,P02,Male,1,Postgraduate,35,25-34
STU-00852,P01,Female,1,Undergraduate,4,25-34
STU-00853,P03,Female,1,Undergraduate,6,21-24
STU-00854,P04,Male,1,Postgraduate,40,21-24
STU-00855,P04,Male,0,Undergraduate,43,18-20
STU-00856,P06,Male,0,Undergraduate,35,21-24
STU-00857,P02,Female,0,Undergraduate,28,21-24
STU-00858,P03,Male,0,Undergraduate,31,21-24
STU-00859,P05,Female,0,Postgraduate,13,21-24
STU-00860,P04,Male,1,Undergraduate,7,18-20
STU-00861,P01,Male,0,Undergraduate,48,21-24
STU-00862,P04,Female,0,Undergraduate,6,18-20
STU-00863,P06,Female,0,Undergraduate,22,25-34
STU-00864,P02,Female,0,Undergraduate,48,18-20
STU-00865,P04,Male,0,Undergraduate,10,21-24
STU-00866,P06,Non-binary,0,Postgraduate,2,18-20
STU-00867,P06,Female,0,Postgraduate,12,35+
STU-00868,P05,Female,0,Undergraduate,38,21-24
STU-00869,P02,Male,1,Postgraduate,28,18-20
STU-00870,P02,Female,0,Undergraduate,33,21-24
STU-00871,P02,Female,0,Undergraduate,32,21-24
STU-00872,P01,Male,0,Undergraduate,38,18-20
STU-00873,P06,Female,0,Undergraduate,5,18-20
STU-00874,P04,Male,0,Undergraduate,15,25-34
STU-00875,P05,Female,0,Undergraduate,36,18-20
STU-00876,P01,Male,0,Postgraduate,43,25-34
STU-00877,P05,Male,0,Undergraduate,21,21-24
STU-00878,P01,Female,1,Undergraduate,29,18-20
STU-00879,P04,Male,0,Undergraduate,45,18-20
STU-00880,P02,Male,1,Postgraduate,24,18-20
STU-00881,P06,Male,0,Undergraduate,46,25-34
STU-00882,P02,Male,0,Undergraduate,1,35+
STU-00883,P02,Male,1,Undergraduate,20,18-20
STU-00884,P04,Prefer not to say,1,Undergraduate,15,18-20
STU-00885,P03,Male,0,Postgraduate,3,21-24
STU-00886,P06,Female,0,Postgraduate,22,21-24
STU-00887,P03,Female,0,Undergraduate,26,21-24
STU-00888,P05,Non-binary,0,Undergraduate,9,25-34
STU-00889,P05,Female,0,Undergraduate,48,18-20
STU-00890,P04,Male,0,Undergraduate,5,25-34
STU-00891,P06,Male,0,Undergraduate,17,21-24
STU-00892,P06,Female,0,Undergraduate,24,18-20
STU-00893,P02,Female,0,Undergraduate,6,18-20
STU-00894,P01,Male,0,Undergraduate,26,21-24
STU-00895,P06,Female,0,Postgraduate,11,18-20
STU-00896,P05,Male,0,Postgraduate,36,21-24
STU-00897,P05,Male,1,Postgraduate,42,21-24
STU-00898,P02,Female,1,Undergraduate,5,21-24
STU-00899,P06,Female,0,Undergraduate,28,21-24
STU-00900,P05,Female,0,Undergraduate,45,18-20
